m	n	topk	coop_g	us	stddev_pct	path
256	131072	2048	1	64.40	0.066	prefill
256	131072	2048	2	50.80	0.045	decode
256	131072	2048	4	52.20	0.083	decode
256	131072	2048	8	47.20	0.098	decode
256	131072	2048	16	53.00	0.044	decode
256	131072	2048	32	70.90	0.142	decode
512	131072	2048	1	88.70	0.041	prefill
512	131072	2048	2	73.00	0.050	prefill
512	131072	2048	4	83.40	0.055	prefill
512	131072	2048	8	76.50	0.166	prefill
512	131072	2048	16	88.20	0.055	prefill
512	131072	2048	32	114.90	0.088	prefill
1024	131072	2048	1	159.80	0.114	prefill
1024	131072	2048	2	153.20	0.058	prefill
1024	131072	2048	4	161.00	0.086	prefill
1024	131072	2048	8	153.80	0.094	prefill
1024	131072	2048	16	171.20	0.086	prefill
1024	131072	2048	32	212.00	0.071	prefill
2048	131072	2048	1	278.90	0.117	prefill
2048	131072	2048	2	273.20	0.104	prefill
2048	131072	2048	4	279.60	0.079	prefill
2048	131072	2048	8	271.00	0.107	prefill
2048	131072	2048	16	308.00	0.047	prefill
2048	131072	2048	32	394.00	0.064	prefill
4096	131072	2048	1	607.50	0.045	prefill
4096	131072	2048	2	579.80	0.062	prefill
4096	131072	2048	4	589.00	0.067	prefill
4096	131072	2048	8	578.50	0.095	prefill
4096	131072	2048	16	641.60	0.065	prefill
4096	131072	2048	32	776.70	0.039	prefill
256	262144	2048	1	123.40	0.037	prefill
256	262144	2048	2	82.20	0.086	decode
256	262144	2048	4	69.70	0.062	decode
256	262144	2048	8	68.60	0.048	decode
256	262144	2048	16	74.50	0.001	decode
256	262144	2048	32	89.20	0.108	decode
512	262144	2048	1	178.60	0.083	prefill
512	262144	2048	2	142.70	0.136	prefill
512	262144	2048	4	138.40	0.055	prefill
512	262144	2048	8	141.30	0.079	prefill
512	262144	2048	16	149.60	0.098	prefill
512	262144	2048	32	172.00	0.073	prefill
1024	262144	2048	1	252.60	0.096	prefill
1024	262144	2048	2	261.50	0.123	prefill
1024	262144	2048	4	251.90	0.142	prefill
1024	262144	2048	8	248.20	0.078	prefill
1024	262144	2048	16	252.10	0.123	prefill
1024	262144	2048	32	293.20	0.039	prefill
2048	262144	2048	1	562.50	0.108	prefill
2048	262144	2048	2	543.20	0.078	prefill
2048	262144	2048	4	532.70	0.089	prefill
2048	262144	2048	8	529.00	0.136	prefill
2048	262144	2048	16	555.60	0.130	prefill
2048	262144	2048	32	627.60	0.134	prefill
4096	262144	2048	1	1095.10	0.071	prefill
4096	262144	2048	2	1059.60	0.032	prefill
4096	262144	2048	4	1043.20	0.054	prefill
4096	262144	2048	8	1035.60	0.072	prefill
4096	262144	2048	16	1092.50	0.079	prefill
4096	262144	2048	32	1227.90	0.099	prefill
256	524288	2048	1	226.70	0.099	prefill
256	524288	2048	2	164.10	0.177	decode
256	524288	2048	4	131.60	0.103	decode
256	524288	2048	8	126.20	0.098	decode
256	524288	2048	16	133.20	0.069	decode
256	524288	2048	32	146.60	0.057	decode
512	524288	2048	1	271.80	0.091	prefill
512	524288	2048	2	243.50	0.169	prefill
512	524288	2048	4	237.00	0.152	prefill
512	524288	2048	8	221.80	0.119	prefill
512	524288	2048	16	224.60	0.103	prefill
512	524288	2048	32	231.80	0.127	prefill
1024	524288	2048	1	514.00	0.093	prefill
1024	524288	2048	2	494.30	0.102	prefill
1024	524288	2048	4	487.40	0.106	prefill
1024	524288	2048	8	469.90	0.129	prefill
1024	524288	2048	16	482.10	0.101	prefill
1024	524288	2048	32	517.20	0.127	prefill
2048	524288	2048	1	1010.80	0.060	prefill
2048	524288	2048	2	969.40	0.062	prefill
2048	524288	2048	4	953.20	0.044	prefill
2048	524288	2048	8	925.50	0.071	prefill
2048	524288	2048	16	947.50	0.102	prefill
2048	524288	2048	32	1013.20	0.045	prefill
4096	524288	2048	1	1988.80	0.035	prefill
4096	524288	2048	2	1911.70	0.043	prefill
4096	524288	2048	4	1883.80	0.066	prefill
4096	524288	2048	8	1846.30	0.065	prefill
4096	524288	2048	16	1878.70	0.097	prefill
4096	524288	2048	32	2007.80	0.072	prefill
256	1048576	2048	1	411.60	0.074	prefill
256	1048576	2048	2	261.30	0.094	decode
256	1048576	2048	4	238.10	0.077	decode
256	1048576	2048	8	226.90	0.201	decode
256	1048576	2048	16	215.30	0.131	decode
256	1048576	2048	32	220.30	0.177	decode
512	1048576	2048	1	599.00	0.061	prefill
512	1048576	2048	2	465.60	0.110	prefill
512	1048576	2048	4	451.80	0.166	prefill
512	1048576	2048	8	448.00	0.108	prefill
512	1048576	2048	16	431.00	0.170	prefill
512	1048576	2048	32	445.60	0.093	prefill
1024	1048576	2048	1	944.00	0.046	prefill
1024	1048576	2048	2	919.30	0.080	prefill
1024	1048576	2048	4	896.30	0.108	prefill
1024	1048576	2048	8	884.20	0.079	prefill
1024	1048576	2048	16	852.70	0.066	prefill
1024	1048576	2048	32	872.10	0.073	prefill
2048	1048576	2048	1	1845.20	0.029	prefill
2048	1048576	2048	2	1799.30	0.051	prefill
2048	1048576	2048	4	1751.50	0.065	prefill
2048	1048576	2048	8	1736.60	0.078	prefill
2048	1048576	2048	16	1690.60	0.051	prefill
2048	1048576	2048	32	1720.00	0.060	prefill
4096	1048576	2048	1	3161.90	1.131	prefill
4096	1048576	2048	2	3141.00	0.951	prefill
4096	1048576	2048	4	3130.60	0.571	prefill
4096	1048576	2048	8	3111.80	0.638	prefill
4096	1048576	2048	16	3026.20	1.017	prefill
4096	1048576	2048	32	3026.30	0.794	prefill
