m	n	topk	coop_g	us	stddev_pct	path
1	16384	2048	1	20.80	0.000	small_n
1	16384	2048	2	20.80	0.000	small_n
1	16384	2048	4	20.80	0.000	small_n
1	16384	2048	8	20.80	0.111	small_n
1	16384	2048	16	20.80	0.000	small_n
1	16384	2048	32	20.80	0.000	small_n
1	16384	2048	64	20.80	0.079	small_n
2	16384	2048	1	20.80	0.000	small_n
2	16384	2048	2	20.80	0.000	small_n
2	16384	2048	4	20.80	0.000	small_n
2	16384	2048	8	20.80	0.079	small_n
2	16384	2048	16	20.80	0.002	small_n
2	16384	2048	32	20.80	0.002	small_n
2	16384	2048	64	20.80	0.076	small_n
4	16384	2048	1	20.90	0.000	small_n
4	16384	2048	2	20.90	0.110	small_n
4	16384	2048	4	20.90	0.078	small_n
4	16384	2048	8	20.90	0.000	small_n
4	16384	2048	16	20.90	0.000	small_n
4	16384	2048	32	20.90	0.000	small_n
4	16384	2048	64	20.90	0.000	small_n
8	16384	2048	1	21.00	0.078	small_n
8	16384	2048	2	21.00	0.000	small_n
8	16384	2048	4	21.00	0.000	small_n
8	16384	2048	8	21.00	0.003	small_n
8	16384	2048	16	21.00	0.000	small_n
8	16384	2048	32	21.00	0.078	small_n
8	16384	2048	64	21.00	0.000	small_n
16	16384	2048	1	21.10	0.134	small_n
16	16384	2048	2	21.10	0.000	small_n
16	16384	2048	4	21.10	0.110	small_n
16	16384	2048	8	21.00	0.078	small_n
16	16384	2048	16	21.10	0.000	small_n
16	16384	2048	32	21.10	0.000	small_n
16	16384	2048	64	21.00	0.000	small_n
32	16384	2048	1	21.10	0.000	small_n
32	16384	2048	2	21.10	0.109	small_n
32	16384	2048	4	21.20	0.109	small_n
32	16384	2048	8	21.10	0.077	small_n
32	16384	2048	16	21.20	0.109	small_n
32	16384	2048	32	21.10	0.077	small_n
32	16384	2048	64	21.10	0.077	small_n
64	16384	2048	1	21.20	0.077	small_n
64	16384	2048	2	21.30	0.203	small_n
64	16384	2048	4	21.20	0.130	small_n
64	16384	2048	8	21.20	0.077	small_n
64	16384	2048	16	21.20	0.107	small_n
64	16384	2048	32	21.20	0.077	small_n
64	16384	2048	64	21.20	0.000	small_n
128	16384	2048	1	21.50	0.132	small_n
128	16384	2048	2	21.50	0.076	small_n
128	16384	2048	4	21.60	0.186	small_n
128	16384	2048	8	21.50	0.076	small_n
128	16384	2048	16	21.60	0.169	small_n
128	16384	2048	32	21.50	0.131	small_n
128	16384	2048	64	21.50	0.131	small_n
256	16384	2048	1	22.10	0.148	small_n
256	16384	2048	2	22.10	0.277	small_n
256	16384	2048	4	22.10	0.128	small_n
256	16384	2048	8	22.10	0.125	small_n
256	16384	2048	16	22.10	0.181	small_n
256	16384	2048	32	22.10	0.221	small_n
256	16384	2048	64	22.10	0.181	small_n
512	16384	2048	1	33.70	0.084	prefill
512	16384	2048	2	43.00	0.066	prefill
512	16384	2048	4	58.10	0.141	prefill
512	16384	2048	8	43.20	0.065	prefill
512	16384	2048	16	43.20	0.053	prefill
512	16384	2048	32	43.30	0.076	prefill
512	16384	2048	64	43.20	0.074	prefill
1024	16384	2048	1	46.60	0.078	prefill
1024	16384	2048	2	62.60	0.082	prefill
1024	16384	2048	4	80.00	0.142	prefill
1024	16384	2048	8	65.60	0.050	prefill
1024	16384	2048	16	65.60	0.060	prefill
1024	16384	2048	32	65.70	0.078	prefill
1024	16384	2048	64	65.50	0.043	prefill
2048	16384	2048	1	85.70	0.050	prefill
2048	16384	2048	2	103.20	0.047	prefill
2048	16384	2048	4	128.40	0.064	prefill
2048	16384	2048	8	117.50	0.036	prefill
2048	16384	2048	16	117.60	0.046	prefill
2048	16384	2048	32	117.60	0.024	prefill
2048	16384	2048	64	117.60	0.027	prefill
4096	16384	2048	1	162.70	0.138	prefill
4096	16384	2048	2	183.30	0.096	prefill
4096	16384	2048	4	220.60	0.161	prefill
4096	16384	2048	8	225.80	0.072	prefill
4096	16384	2048	16	225.80	0.093	prefill
4096	16384	2048	32	226.00	0.068	prefill
4096	16384	2048	64	225.90	0.073	prefill
