m	n	g	us	path	stddev_pct
1	24576	1	24.20	prefill	0.16
1	24576	2	23.50	decode	0.14
1	24576	4	21.50	decode	0.11
1	24576	8	21.00	decode	0.15
1	24576	16	20.40	decode	0.00
1	24576	32	20.40	decode	0.11
1	24576	64	20.40	decode	0.11
2	24576	1	24.90	prefill	0.07
2	24576	2	23.50	decode	0.10
2	24576	4	21.90	decode	0.13
2	24576	8	21.40	decode	0.35
2	24576	16	20.80	decode	0.18
2	24576	32	20.70	decode	0.08
2	24576	64	20.80	decode	0.14
4	24576	1	25.10	prefill	0.23
4	24576	2	24.20	decode	0.14
4	24576	4	22.40	decode	0.24
4	24576	8	21.60	decode	0.27
4	24576	16	21.00	decode	0.25
4	24576	32	21.00	decode	0.34
4	24576	64	21.00	decode	0.45
8	24576	1	25.60	prefill	0.28
8	24576	2	25.50	decode	1.22
8	24576	4	24.20	decode	0.36
8	24576	8	22.20	decode	0.13
8	24576	16	22.20	decode	0.36
8	24576	32	22.00	decode	0.15
8	24576	64	22.00	decode	0.15
16	24576	1	25.70	prefill	0.28
16	24576	2	27.80	decode	1.05
16	24576	4	27.20	decode	0.25
16	24576	8	23.30	decode	0.21
16	24576	16	23.10	decode	0.27
16	24576	32	23.10	decode	0.21
16	24576	64	23.00	decode	0.10
32	24576	1	26.00	prefill	0.61
32	24576	2	28.20	decode	0.08
32	24576	4	27.60	decode	0.06
32	24576	8	23.80	decode	2.83
32	24576	16	23.30	decode	0.14
32	24576	32	23.40	decode	0.16
32	24576	64	23.40	decode	0.14
64	24576	1	26.10	prefill	0.21
64	24576	2	32.70	decode	0.07
64	24576	4	32.20	decode	0.07
64	24576	8	25.90	decode	0.42
64	24576	16	25.20	decode	0.52
64	24576	32	25.40	decode	0.52
64	24576	64	25.30	decode	0.34
128	24576	1	26.60	prefill	0.23
128	24576	2	33.10	decode	0.16
128	24576	4	34.80	decode	0.16
128	24576	8	28.40	decode	0.10
128	24576	16	28.80	decode	0.23
128	24576	32	28.80	decode	0.40
128	24576	64	28.90	decode	0.18
256	24576	1	29.80	prefill	0.99
256	24576	2	34.60	decode	0.13
256	24576	4	41.00	decode	0.07
256	24576	8	35.40	decode	0.51
256	24576	16	35.60	decode	0.87
256	24576	32	35.60	decode	0.59
256	24576	64	35.60	decode	0.09
512	24576	1	37.20	prefill	0.08
512	24576	2	43.50	prefill	0.11
512	24576	4	57.60	prefill	0.18
512	24576	8	50.00	prefill	0.11
512	24576	16	51.70	prefill	0.11
512	24576	32	51.70	prefill	0.12
512	24576	64	51.70	prefill	0.08
1024	24576	1	51.60	prefill	0.17
1024	24576	2	66.20	prefill	0.09
1024	24576	4	81.50	prefill	0.08
1024	24576	8	76.30	prefill	0.07
1024	24576	16	81.20	prefill	0.04
1024	24576	32	81.30	prefill	0.09
1024	24576	64	81.20	prefill	0.06
2048	24576	1	98.50	prefill	0.06
2048	24576	2	114.40	prefill	0.06
2048	24576	4	140.70	prefill	0.13
2048	24576	8	141.70	prefill	0.07
2048	24576	16	154.40	prefill	0.05
2048	24576	32	154.40	prefill	0.06
2048	24576	64	154.50	prefill	0.09
