m	n	topk	coop_g	us	stddev_pct	path
1	24576	2048	1	24.20	0.164	prefill
1	24576	2048	2	23.50	0.139	decode
1	24576	2048	4	21.50	0.108	decode
1	24576	2048	8	21.00	0.155	decode
1	24576	2048	16	20.40	0.000	decode
1	24576	2048	32	20.40	0.113	decode
1	24576	2048	64	20.40	0.113	decode
2	24576	2048	1	24.90	0.066	prefill
2	24576	2048	2	23.50	0.098	decode
2	24576	2048	4	21.90	0.126	decode
2	24576	2048	8	21.40	0.350	decode
2	24576	2048	16	20.80	0.176	decode
2	24576	2048	32	20.70	0.079	decode
2	24576	2048	64	20.80	0.136	decode
4	24576	2048	1	25.10	0.225	prefill
4	24576	2048	2	24.20	0.135	decode
4	24576	2048	4	22.40	0.242	decode
4	24576	2048	8	21.60	0.272	decode
4	24576	2048	16	21.00	0.246	decode
4	24576	2048	32	21.00	0.337	decode
4	24576	2048	64	21.00	0.451	decode
8	24576	2048	1	25.60	0.278	prefill
8	24576	2048	2	25.50	1.219	decode
8	24576	2048	4	24.20	0.364	decode
8	24576	2048	8	22.20	0.127	decode
8	24576	2048	16	22.20	0.361	decode
8	24576	2048	32	22.00	0.149	decode
8	24576	2048	64	22.00	0.149	decode
16	24576	2048	1	25.70	0.284	prefill
16	24576	2048	2	27.80	1.052	decode
16	24576	2048	4	27.20	0.254	decode
16	24576	2048	8	23.30	0.210	decode
16	24576	2048	16	23.10	0.273	decode
16	24576	2048	32	23.10	0.212	decode
16	24576	2048	64	23.00	0.100	decode
32	24576	2048	1	26.00	0.608	prefill
32	24576	2048	2	28.20	0.082	decode
32	24576	2048	4	27.60	0.059	decode
32	24576	2048	8	23.80	2.835	decode
32	24576	2048	16	23.30	0.140	decode
32	24576	2048	32	23.40	0.156	decode
32	24576	2048	64	23.40	0.140	decode
64	24576	2048	1	26.10	0.208	prefill
64	24576	2048	2	32.70	0.071	decode
64	24576	2048	4	32.20	0.072	decode
64	24576	2048	8	25.90	0.423	decode
64	24576	2048	16	25.20	0.523	decode
64	24576	2048	32	25.40	0.523	decode
64	24576	2048	64	25.30	0.336	decode
128	24576	2048	1	26.60	0.229	prefill
128	24576	2048	2	33.10	0.163	decode
128	24576	2048	4	34.80	0.156	decode
128	24576	2048	8	28.40	0.100	decode
128	24576	2048	16	28.80	0.226	decode
128	24576	2048	32	28.80	0.404	decode
128	24576	2048	64	28.90	0.179	decode
256	24576	2048	1	29.80	0.989	prefill
256	24576	2048	2	34.60	0.133	decode
256	24576	2048	4	41.00	0.068	decode
256	24576	2048	8	35.40	0.508	decode
256	24576	2048	16	35.60	0.868	decode
256	24576	2048	32	35.60	0.592	decode
256	24576	2048	64	35.60	0.092	decode
512	24576	2048	1	37.20	0.076	prefill
512	24576	2048	2	43.50	0.113	prefill
512	24576	2048	4	57.60	0.179	prefill
512	24576	2048	8	50.00	0.108	prefill
512	24576	2048	16	51.70	0.109	prefill
512	24576	2048	32	51.70	0.117	prefill
512	24576	2048	64	51.70	0.084	prefill
1024	24576	2048	1	51.60	0.167	prefill
1024	24576	2048	2	66.20	0.089	prefill
1024	24576	2048	4	81.50	0.078	prefill
1024	24576	2048	8	76.30	0.070	prefill
1024	24576	2048	16	81.20	0.039	prefill
1024	24576	2048	32	81.30	0.088	prefill
1024	24576	2048	64	81.20	0.064	prefill
