m	n	topk	coop_g	us	stddev_pct	path
256	40960	2048	1	35.10	0.079	prefill
256	40960	2048	2	37.10	0.076	decode
256	40960	2048	4	43.40	0.075	decode
256	40960	2048	8	34.60	0.134	decode
256	40960	2048	16	43.30	0.053	decode
256	40960	2048	32	46.20	0.079	decode
512	40960	2048	1	42.90	0.038	prefill
512	40960	2048	2	46.70	0.104	prefill
512	40960	2048	4	61.00	0.038	prefill
512	40960	2048	8	50.30	0.065	prefill
512	40960	2048	16	64.40	0.050	prefill
512	40960	2048	32	69.30	0.047	prefill
1024	40960	2048	1	61.50	0.059	prefill
1024	40960	2048	2	72.60	0.060	prefill
1024	40960	2048	4	90.00	0.036	prefill
1024	40960	2048	8	78.10	0.041	prefill
1024	40960	2048	16	104.80	0.068	prefill
1024	40960	2048	32	113.30	0.070	prefill
2048	40960	2048	1	136.00	0.040	prefill
2048	40960	2048	2	138.80	0.070	prefill
2048	40960	2048	4	165.10	0.127	prefill
2048	40960	2048	8	157.20	0.139	prefill
2048	40960	2048	16	212.70	0.095	prefill
2048	40960	2048	32	223.00	0.100	prefill
4096	40960	2048	1	273.20	0.097	prefill
4096	40960	2048	2	260.10	0.120	prefill
4096	40960	2048	4	290.60	0.083	prefill
4096	40960	2048	8	295.70	0.068	prefill
4096	40960	2048	16	402.60	0.040	prefill
4096	40960	2048	32	421.70	0.075	prefill
256	49152	2048	1	37.60	0.073	prefill
256	49152	2048	2	38.20	0.061	decode
256	49152	2048	4	43.00	0.038	decode
256	49152	2048	8	34.60	0.082	decode
256	49152	2048	16	43.60	0.037	decode
256	49152	2048	32	51.60	0.054	decode
512	49152	2048	1	45.50	0.051	prefill
512	49152	2048	2	48.20	0.059	prefill
512	49152	2048	4	61.60	0.084	prefill
512	49152	2048	8	50.00	0.046	prefill
512	49152	2048	16	65.00	0.042	prefill
512	49152	2048	32	78.30	0.036	prefill
1024	49152	2048	1	67.20	0.054	prefill
1024	49152	2048	2	75.70	0.037	prefill
1024	49152	2048	4	92.20	0.035	prefill
1024	49152	2048	8	79.00	0.021	prefill
1024	49152	2048	16	105.90	0.031	prefill
1024	49152	2048	32	129.70	0.041	prefill
2048	49152	2048	1	155.70	0.064	prefill
2048	49152	2048	2	149.90	0.131	prefill
2048	49152	2048	4	172.80	0.080	prefill
2048	49152	2048	8	162.00	0.128	prefill
2048	49152	2048	16	216.20	0.092	prefill
2048	49152	2048	32	257.00	0.047	prefill
4096	49152	2048	1	306.10	0.087	prefill
4096	49152	2048	2	287.00	0.083	prefill
4096	49152	2048	4	312.60	0.121	prefill
4096	49152	2048	8	308.00	0.072	prefill
4096	49152	2048	16	411.20	0.023	prefill
4096	49152	2048	32	489.80	0.095	prefill
256	57344	2048	1	40.30	0.098	prefill
256	57344	2048	2	39.20	0.059	decode
256	57344	2048	4	44.10	0.089	decode
256	57344	2048	8	36.40	0.089	decode
256	57344	2048	16	44.20	0.074	decode
256	57344	2048	32	57.10	0.081	decode
512	57344	2048	1	48.20	0.033	prefill
512	57344	2048	2	50.20	0.056	prefill
512	57344	2048	4	63.50	0.062	prefill
512	57344	2048	8	53.40	0.031	prefill
512	57344	2048	16	66.40	0.060	prefill
512	57344	2048	32	87.00	0.062	prefill
1024	57344	2048	1	72.40	0.101	prefill
1024	57344	2048	2	80.70	0.040	prefill
1024	57344	2048	4	96.60	0.041	prefill
1024	57344	2048	8	87.20	0.037	prefill
1024	57344	2048	16	111.80	0.025	prefill
1024	57344	2048	32	148.10	0.073	prefill
2048	57344	2048	1	172.00	0.072	prefill
2048	57344	2048	2	164.40	0.167	prefill
2048	57344	2048	4	183.70	0.096	prefill
2048	57344	2048	8	177.30	0.179	prefill
2048	57344	2048	16	223.90	0.096	prefill
2048	57344	2048	32	290.60	0.092	prefill
4096	57344	2048	1	332.20	0.065	prefill
4096	57344	2048	2	312.40	0.058	prefill
4096	57344	2048	4	332.10	0.051	prefill
4096	57344	2048	8	335.10	0.069	prefill
4096	57344	2048	16	425.20	0.055	prefill
