m	n	g	us	path	stddev_pct
1	20480	1	23.20	prefill	0.16
1	20480	2	23.00	decode	0.00
1	20480	4	21.50	decode	0.17
1	20480	8	21.10	decode	0.11
1	20480	16	20.40	decode	2.00
1	20480	32	20.40	decode	0.20
1	20480	64	20.50	decode	0.14
2	20480	1	24.10	prefill	0.31
2	20480	2	23.10	decode	0.12
2	20480	4	21.80	decode	2.35
2	20480	8	21.60	decode	0.35
2	20480	16	20.70	decode	0.18
2	20480	32	20.70	decode	0.18
2	20480	64	20.70	decode	0.08
4	20480	1	24.30	prefill	0.28
4	20480	2	23.80	decode	0.23
4	20480	4	22.50	decode	0.33
4	20480	8	21.80	decode	0.31
4	20480	16	20.90	decode	0.57
4	20480	32	21.00	decode	0.59
4	20480	64	21.00	decode	0.43
8	20480	1	24.70	prefill	0.22
8	20480	2	25.20	decode	0.11
8	20480	4	24.20	decode	0.40
8	20480	8	22.70	decode	0.37
8	20480	16	21.80	decode	0.15
8	20480	32	21.70	decode	0.54
8	20480	64	21.80	decode	0.17
16	20480	1	24.80	prefill	0.28
16	20480	2	27.60	decode	0.21
16	20480	4	26.90	decode	0.14
16	20480	8	24.30	decode	0.23
16	20480	16	22.80	decode	0.21
16	20480	32	22.80	decode	0.25
16	20480	64	23.00	decode	0.36
32	20480	1	25.00	prefill	0.22
32	20480	2	28.00	decode	0.17
32	20480	4	27.30	decode	0.13
32	20480	8	24.80	decode	1.25
32	20480	16	23.00	decode	0.38
32	20480	32	23.00	decode	0.32
32	20480	64	23.00	decode	0.16
64	20480	1	25.20	prefill	0.21
64	20480	2	32.10	decode	0.21
64	20480	4	31.40	decode	0.30
64	20480	8	27.70	decode	0.18
64	20480	16	24.70	decode	0.22
64	20480	32	24.70	decode	0.21
64	20480	64	24.70	decode	0.07
128	20480	1	25.60	prefill	0.14
128	20480	2	32.60	decode	0.26
128	20480	4	32.90	decode	0.07
128	20480	8	30.50	decode	0.65
128	20480	16	27.60	decode	0.10
128	20480	32	27.60	decode	0.31
128	20480	64	27.60	decode	0.24
256	20480	1	28.30	prefill	0.10
256	20480	2	34.20	decode	0.10
256	20480	4	40.80	decode	0.22
256	20480	8	38.30	decode	0.15
256	20480	16	33.00	decode	0.38
256	20480	32	33.10	decode	0.47
256	20480	64	33.10	decode	0.17
512	20480	1	35.20	prefill	0.36
512	20480	2	43.00	prefill	0.07
512	20480	4	57.00	prefill	0.58
512	20480	8	53.40	prefill	0.12
512	20480	16	47.30	prefill	0.16
512	20480	32	47.20	prefill	0.06
512	20480	64	47.20	prefill	0.09
1024	20480	1	49.30	prefill	0.11
1024	20480	2	65.40	prefill	0.07
1024	20480	4	81.30	prefill	0.09
1024	20480	8	79.90	prefill	0.09
1024	20480	16	73.20	prefill	0.07
1024	20480	32	73.20	prefill	0.04
1024	20480	64	73.20	prefill	0.03
2048	20480	1	93.40	prefill	0.11
2048	20480	2	108.90	prefill	0.04
2048	20480	4	138.00	prefill	0.07
2048	20480	8	140.40	prefill	0.06
2048	20480	16	132.60	prefill	0.04
2048	20480	32	132.60	prefill	0.03
2048	20480	64	132.60	prefill	0.04
4096	20480	1	182.50	prefill	0.12
4096	20480	2	198.30	prefill	0.09
4096	20480	4	242.90	prefill	0.15
4096	20480	8	270.50	prefill	0.09
4096	20480	16	258.30	prefill	0.10
4096	20480	32	258.30	prefill	0.07
4096	20480	64	258.20	prefill	0.07
1	28672	1	25.00	prefill	0.15
1	28672	2	23.90	decode	0.07
1	28672	4	21.80	decode	0.13
1	28672	8	20.70	decode	0.11
1	28672	16	20.40	decode	0.11
1	28672	32	20.30	decode	0.14
1	28672	64	20.30	decode	0.14
2	28672	1	25.80	prefill	0.09
2	28672	2	23.90	decode	0.10
2	28672	4	22.30	decode	0.15
2	28672	8	21.20	decode	0.11
2	28672	16	20.70	decode	0.08
2	28672	32	20.70	decode	0.16
2	28672	64	20.70	decode	0.08
4	28672	1	26.00	prefill	0.14
4	28672	2	24.90	decode	0.09
4	28672	4	22.90	decode	0.16
4	28672	8	21.70	decode	0.25
4	28672	16	21.10	decode	0.17
4	28672	32	21.20	decode	0.27
4	28672	64	21.10	decode	0.26
8	28672	1	26.50	prefill	0.18
8	28672	2	26.10	decode	0.11
8	28672	4	24.60	decode	0.09
8	28672	8	22.00	decode	0.13
8	28672	16	22.10	decode	0.10
8	28672	32	22.10	decode	0.15
8	28672	64	22.10	decode	0.17
16	28672	1	26.70	prefill	0.19
16	28672	2	28.30	decode	0.10
16	28672	4	27.40	decode	0.15
16	28672	8	22.80	decode	0.19
16	28672	16	23.40	decode	0.14
16	28672	32	23.40	decode	0.12
16	28672	64	23.50	decode	0.14
32	28672	1	26.80	prefill	0.12
32	28672	2	28.80	decode	0.13
32	28672	4	27.70	decode	0.19
32	28672	8	23.00	decode	0.19
32	28672	16	24.20	decode	0.18
32	28672	32	24.20	decode	0.10
32	28672	64	24.30	decode	0.18
64	28672	1	27.20	prefill	0.18
64	28672	2	32.70	decode	0.10
64	28672	4	32.60	decode	0.17
64	28672	8	24.40	decode	0.07
64	28672	16	26.70	decode	0.23
64	28672	32	26.40	decode	0.14
64	28672	64	26.40	decode	0.09
128	28672	1	27.50	prefill	0.13
128	28672	2	33.60	decode	0.05
128	28672	4	36.90	decode	0.06
128	28672	8	26.60	decode	0.10
128	28672	16	30.30	decode	0.13
128	28672	32	30.20	decode	0.09
128	28672	64	30.20	decode	0.13
256	28672	1	31.00	prefill	0.09
256	28672	2	35.60	decode	0.11
256	28672	4	43.20	decode	0.10
256	28672	8	32.50	decode	0.10
256	28672	16	38.10	decode	0.06
256	28672	32	38.10	decode	0.06
256	28672	64	38.20	decode	0.09
512	28672	1	38.70	prefill	0.07
512	28672	2	45.20	prefill	0.05
512	28672	4	59.60	prefill	0.05
512	28672	8	46.70	prefill	0.05
512	28672	16	55.80	prefill	0.05
512	28672	32	55.90	prefill	0.04
512	28672	64	56.00	prefill	0.09
1024	28672	1	54.10	prefill	0.06
1024	28672	2	69.00	prefill	0.03
1024	28672	4	86.20	prefill	0.07
1024	28672	8	72.20	prefill	0.06
1024	28672	16	88.70	prefill	0.04
1024	28672	32	88.70	prefill	0.04
1024	28672	64	88.80	prefill	0.04
2048	28672	1	103.20	prefill	0.08
2048	28672	2	121.90	prefill	0.04
2048	28672	4	153.20	prefill	0.05
2048	28672	8	140.00	prefill	0.06
2048	28672	16	169.80	prefill	0.07
2048	28672	32	169.80	prefill	0.10
2048	28672	64	169.70	prefill	0.08
4096	28672	1	225.10	prefill	0.10
4096	28672	2	224.80	prefill	0.06
4096	28672	4	270.10	prefill	0.08
4096	28672	8	264.60	prefill	0.07
4096	28672	16	324.10	prefill	0.05
4096	28672	32	324.40	prefill	0.08
4096	28672	64	324.20	prefill	0.08
1	114688	1	44.70	prefill	0.06
1	114688	2	34.90	decode	0.00
1	114688	4	28.30	decode	0.08
1	114688	8	24.40	decode	0.07
1	114688	16	23.00	decode	0.12
1	114688	32	22.30	decode	0.07
1	114688	64	22.00	decode	0.00
2	114688	1	45.50	prefill	0.06
2	114688	2	34.60	decode	0.08
2	114688	4	28.60	decode	0.06
2	114688	8	24.70	decode	0.11
2	114688	16	23.30	decode	0.16
2	114688	32	22.80	decode	0.16
2	114688	64	22.90	decode	0.16
4	114688	1	46.00	prefill	0.15
4	114688	2	36.20	decode	0.00
4	114688	4	28.90	decode	0.11
4	114688	8	25.00	decode	0.17
4	114688	16	23.80	decode	0.22
4	114688	32	23.80	decode	0.28
4	114688	64	24.50	decode	0.23
8	114688	1	46.40	prefill	0.08
8	114688	2	36.60	decode	0.08
8	114688	4	30.20	decode	0.17
8	114688	8	25.70	decode	0.20
8	114688	16	25.00	decode	0.22
8	114688	32	25.60	decode	0.15
8	114688	64	27.40	decode	0.20
16	114688	1	46.50	prefill	0.10
16	114688	2	37.80	decode	0.09
16	114688	4	32.80	decode	0.05
16	114688	8	26.40	decode	0.11
16	114688	16	26.40	decode	0.09
16	114688	32	28.60	decode	0.10
16	114688	64	32.60	decode	0.05
32	114688	1	46.80	prefill	0.05
