m	n	topk	coop_g	us	stddev_pct	path
1	20480	2048	1	23.20	0.157	prefill
1	20480	2048	2	23.00	0.000	decode
1	20480	2048	4	21.50	0.170	decode
1	20480	2048	8	21.10	0.109	decode
1	20480	2048	16	20.40	2.003	decode
1	20480	2048	32	20.40	0.196	decode
1	20480	2048	64	20.50	0.139	decode
2	20480	2048	1	24.10	0.311	prefill
2	20480	2048	2	23.10	0.123	decode
2	20480	2048	4	21.80	2.351	decode
2	20480	2048	8	21.60	0.355	decode
2	20480	2048	16	20.70	0.176	decode
2	20480	2048	32	20.70	0.176	decode
2	20480	2048	64	20.70	0.079	decode
4	20480	2048	1	24.30	0.275	prefill
4	20480	2048	2	23.80	0.227	decode
4	20480	2048	4	22.50	0.325	decode
4	20480	2048	8	21.80	0.309	decode
4	20480	2048	16	20.90	0.574	decode
4	20480	2048	32	21.00	0.593	decode
4	20480	2048	64	21.00	0.434	decode
8	20480	2048	1	24.70	0.219	prefill
8	20480	2048	2	25.20	0.112	decode
8	20480	2048	4	24.20	0.400	decode
8	20480	2048	8	22.70	0.374	decode
8	20480	2048	16	21.80	0.150	decode
8	20480	2048	32	21.70	0.537	decode
8	20480	2048	64	21.80	0.168	decode
16	20480	2048	1	24.80	0.279	prefill
16	20480	2048	2	27.60	0.212	decode
16	20480	2048	4	26.90	0.136	decode
16	20480	2048	8	24.30	0.231	decode
16	20480	2048	16	22.80	0.215	decode
16	20480	2048	32	22.80	0.249	decode
16	20480	2048	64	23.00	0.362	decode
32	20480	2048	1	25.00	0.216	prefill
32	20480	2048	2	28.00	0.175	decode
32	20480	2048	4	27.30	0.134	decode
32	20480	2048	8	24.80	1.255	decode
32	20480	2048	16	23.00	0.382	decode
32	20480	2048	32	23.00	0.318	decode
32	20480	2048	64	23.00	0.158	decode
64	20480	2048	1	25.20	0.215	prefill
64	20480	2048	2	32.10	0.210	decode
64	20480	2048	4	31.40	0.304	decode
64	20480	2048	8	27.70	0.177	decode
64	20480	2048	16	24.70	0.217	decode
64	20480	2048	32	24.70	0.209	decode
64	20480	2048	64	24.70	0.066	decode
128	20480	2048	1	25.60	0.142	prefill
128	20480	2048	2	32.60	0.261	decode
128	20480	2048	4	32.90	0.070	decode
128	20480	2048	8	30.50	0.654	decode
128	20480	2048	16	27.60	0.102	decode
128	20480	2048	32	27.60	0.313	decode
128	20480	2048	64	27.60	0.245	decode
256	20480	2048	1	28.30	0.100	prefill
256	20480	2048	2	34.20	0.096	decode
256	20480	2048	4	40.80	0.223	decode
256	20480	2048	8	38.30	0.148	decode
256	20480	2048	16	33.00	0.377	decode
256	20480	2048	32	33.10	0.468	decode
256	20480	2048	64	33.10	0.172	decode
512	20480	2048	1	35.20	0.362	prefill
512	20480	2048	2	43.00	0.065	prefill
512	20480	2048	4	57.00	0.579	prefill
512	20480	2048	8	53.40	0.123	prefill
512	20480	2048	16	47.30	0.162	prefill
512	20480	2048	32	47.20	0.060	prefill
512	20480	2048	64	47.20	0.091	prefill
1024	20480	2048	1	49.30	0.111	prefill
1024	20480	2048	2	65.40	0.067	prefill
1024	20480	2048	4	81.30	0.090	prefill
1024	20480	2048	8	79.90	0.091	prefill
1024	20480	2048	16	73.20	0.074	prefill
1024	20480	2048	32	73.20	0.038	prefill
1024	20480	2048	64	73.20	0.032	prefill
2048	20480	2048	1	93.40	0.107	prefill
2048	20480	2048	2	108.90	0.042	prefill
2048	20480	2048	4	138.00	0.072	prefill
2048	20480	2048	8	140.40	0.064	prefill
2048	20480	2048	16	132.60	0.037	prefill
2048	20480	2048	32	132.60	0.033	prefill
2048	20480	2048	64	132.60	0.044	prefill
4096	20480	2048	1	182.50	0.116	prefill
4096	20480	2048	2	198.30	0.094	prefill
4096	20480	2048	4	242.90	0.146	prefill
4096	20480	2048	8	270.50	0.094	prefill
4096	20480	2048	16	258.30	0.097	prefill
4096	20480	2048	32	258.30	0.069	prefill
4096	20480	2048	64	258.20	0.074	prefill
1	28672	2048	1	25.00	0.146	prefill
1	28672	2048	2	23.90	0.068	decode
1	28672	2048	4	21.80	0.130	decode
1	28672	2048	8	20.70	0.111	decode
1	28672	2048	16	20.40	0.113	decode
1	28672	2048	32	20.30	0.139	decode
1	28672	2048	64	20.30	0.139	decode
2	28672	2048	1	25.80	0.090	prefill
2	28672	2048	2	23.90	0.097	decode
2	28672	2048	4	22.30	0.147	decode
2	28672	2048	8	21.20	0.109	decode
2	28672	2048	16	20.70	0.079	decode
2	28672	2048	32	20.70	0.158	decode
2	28672	2048	64	20.70	0.079	decode
4	28672	2048	1	26.00	0.139	prefill
4	28672	2048	2	24.90	0.093	decode
4	28672	2048	4	22.90	0.159	decode
4	28672	2048	8	21.70	0.249	decode
4	28672	2048	16	21.10	0.173	decode
4	28672	2048	32	21.20	0.267	decode
4	28672	2048	64	21.10	0.256	decode
8	28672	2048	1	26.50	0.185	prefill
8	28672	2048	2	26.10	0.108	decode
8	28672	2048	4	24.60	0.094	decode
8	28672	2048	8	22.00	0.129	decode
8	28672	2048	16	22.10	0.105	decode
8	28672	2048	32	22.10	0.148	decode
8	28672	2048	64	22.10	0.165	decode
