rank	m	n	topk	us	floor_us	ratio	stddev_pct
1	4096	1024	512	30.20	5.96	5.067	0.28
2	4096	512	256	25.40	5.96	4.262	0.46
3	4096	2048	1024	40.60	9.81	4.137	0.51
4	1024	8192	2048	33.30	8.18	4.072	0.85
5	8	1048576	2048	38.30	10.64	3.600	0.08
6	16	524288	2048	38.10	10.64	3.581	0.94
7	16	1048576	2048	45.70	13.18	3.467	0.31
8	64	262144	2048	44.90	13.47	3.332	0.26
9	8	524288	2048	34.70	10.64	3.261	0.36
10	256	32768	2048	34.60	10.64	3.252	0.08
11	4096	8192	2048	106.00	32.71	3.240	0.65
12	16	262144	2048	34.00	10.64	3.195	0.42
13	4	1048576	2048	34.00	10.64	3.195	0.47
14	64	131072	2048	33.20	10.64	3.120	0.36
15	8	262144	2048	33.10	10.64	3.111	1.88
16	1	1048576	2048	31.40	10.64	2.951	0.99
17	4	524288	2048	30.90	10.64	2.904	1.10
18	1024	2048	1024	17.10	5.96	2.869	0.23
19	256	8192	2048	16.90	5.96	2.836	0.24
20	8	131072	2048	29.90	10.64	2.810	0.28
21	1	524288	2048	29.90	10.64	2.810	1.02
22	4	262144	2048	29.20	10.64	2.744	0.89
23	64	8192	2048	16.00	5.96	2.685	0.18
24	16	8192	2048	15.90	5.96	2.668	0.40
25	8	8192	2048	15.80	5.96	2.651	0.40
26	16	131072	2048	28.10	10.64	2.641	0.10
27	4	8192	2048	15.70	5.96	2.634	0.40
28	1	8192	2048	15.60	5.96	2.617	0.18
29	1	262144	2048	27.30	10.64	2.566	0.53
30	4	131072	2048	26.60	10.64	2.500	0.86
31	256	131072	2048	67.00	27.72	2.417	0.30
32	64	32768	2048	25.20	10.64	2.368	0.46
33	256	262144	2048	126.00	53.90	2.338	0.45
34	16	32768	2048	24.80	10.64	2.331	0.69
35	64	524288	2048	60.60	26.56	2.282	0.44
36	1024	1024	512	13.40	5.96	2.248	0.42
37	8	32768	2048	23.70	10.64	2.227	0.61
38	1	131072	2048	23.60	10.64	2.218	0.87
39	256	524288	2048	228.70	106.24	2.153	0.83
40	4	32768	2048	22.30	10.64	2.096	0.90
41	1	32768	2048	21.80	10.64	2.049	1.43
42	64	1048576	2048	105.30	52.73	1.997	0.62
43	1024	512	256	11.80	5.96	1.980	0.00
44	256	1048576	2048	415.60	210.92	1.970	0.49
45	256	2048	1024	11.60	5.96	1.946	0.55
46	4096	32768	2048	250.90	129.55	1.937	0.35
47	16	2048	1024	11.20	5.96	1.879	0.51
48	64	2048	1024	11.20	5.96	1.879	0.25
49	8	2048	1024	11.00	5.96	1.846	0.51
50	1024	32768	2048	59.70	32.39	1.843	0.57
51	4	2048	1024	10.80	5.96	1.812	0.52
52	1	2048	1024	10.70	5.96	1.795	0.37
53	256	1024	512	10.60	5.96	1.779	0.60
54	256	512	256	10.50	5.96	1.762	0.27
55	64	1024	512	10.30	5.96	1.728	0.27
56	64	512	256	10.20	5.96	1.711	0.28
57	16	1024	512	10.20	5.96	1.711	0.62
58	8	512	256	10.10	5.96	1.695	0.28
59	16	512	256	10.10	5.96	1.695	0.62
60	8	1024	512	10.10	5.96	1.695	0.84
61	4	512	256	9.90	5.96	1.661	0.64
62	1	1024	512	9.90	5.96	1.661	0.28
63	4	1024	512	9.90	5.96	1.661	0.64
64	1	512	256	9.70	5.96	1.628	0.00
65	1024	131072	2048	163.20	110.90	1.472	0.71
66	4096	131072	2048	615.20	443.60	1.387	0.66
67	4096	262144	2048	1110.70	862.34	1.288	0.26
68	1024	524288	2048	517.70	424.95	1.218	0.20
69	1024	262144	2048	258.70	215.58	1.200	0.51
70	4096	524288	2048	2005.40	1699.81	1.180	0.20
71	1024	1048576	2048	947.30	843.69	1.123	0.17
