m	n	topk	us	floor_us	ratio	tb_s	path	regime	stddev_pct
128	32768	2048	28.10	7.92	3.548	0.739	decode	decode	0.08
256	32768	2048	33.70	7.92	4.255	1.232	prefill	prefill	0.07
1024	32768	2048	58.50	31.66	1.848	2.839	prefill	prefill	0.00
4096	32768	2048	246.40	126.65	1.945	2.696	prefill	prefill	0.09
128	65536	2048	30.40	7.92	3.838	1.235	decode	decode	0.08
256	65536	2048	44.30	14.48	3.060	1.695	prefill	prefill	0.06
1024	65536	2048	79.10	57.92	1.366	3.797	prefill	prefill	0.07
4096	65536	2048	332.30	231.67	1.434	3.615	prefill	prefill	0.07
128	131072	2048	36.40	13.87	2.625	1.953	decode	decode	0.06
256	131072	2048	65.60	27.74	2.365	2.167	prefill	prefill	0.07
1024	131072	2048	161.40	110.95	1.455	3.524	prefill	prefill	0.10
4096	131072	2048	613.90	443.80	1.383	3.706	prefill	prefill	0.05
128	262144	2048	48.40	26.62	1.818	2.855	decode	decode	0.07
256	262144	2048	125.00	53.24	2.348	2.211	prefill	prefill	0.09
1024	262144	2048	255.10	212.97	1.198	4.334	prefill	prefill	0.09
4096	262144	2048	1104.90	851.87	1.297	4.003	prefill	prefill	0.06
128	524288	2048	69.30	51.81	1.338	3.931	decode	decode	0.08
256	524288	2048	228.60	103.61	2.206	2.383	prefill	prefill	0.06
1024	524288	2048	517.50	414.44	1.249	4.211	prefill	prefill	0.04
4096	524288	2048	2001.60	1657.77	1.207	4.355	prefill	prefill	0.04
128	1048576	2048	126.30	101.52	1.244	4.282	decode	decode	0.09
256	1048576	2048	413.60	203.05	2.037	2.615	prefill	prefill	0.10
1024	1048576	2048	948.60	812.20	1.168	4.561	prefill	prefill	0.04
4096	1048576	2048	3175.90	3248.80	0.978	5.450	prefill	prefill	1.12
