# AVO vs aiter top_k_per_row_prefill (mb/ob), both through aiter op_tests/test_topk_per_row.py
# so correctness (all_close vs torch.topk) and timing (@perftest) come from the same call.
# AITER_DISABLE_TOPK_AVO=1 -- without it the aiter row self-routes to AVO at stride0>=32768.
# k=2048, fp32, ragged rows (row r ends at num_prefix+r+1), width = N exactly.
# The shipped dispatcher takes AVO only when stride0 >= 32768 (aiter/ops/topk.py:418).
# ratio = aiter_us / avo_us; below 1.00 AVO is the slower of the two.
M	N	avo_us	aiter_us	ratio	avo_all_close	aiter_all_close	dispatched
1	2048	1.95	1.98	1.014	True	True	aiter
1	4096	8.79	5.46	0.621	True	True	aiter
1	8192	12.41	9.46	0.762	True	True	aiter
1	16384	19.45	11.99	0.616	True	True	aiter
1	32768	20.29	17.59	0.867	True	True	avo
1	65536	21.47	25.82	1.203	True	True	avo
1	131072	21.98	31.05	1.413	True	True	avo
1	262144	22.13	40.12	1.813	True	True	avo
1	524288	25.37	46.14	1.819	True	True	avo
1	1048576	32.02	47.34	1.478	True	True	avo
2	2048	2.21	1.97	0.895	True	True	aiter
2	4096	9.57	5.93	0.620	True	True	aiter
2	8192	12.97	9.51	0.734	True	True	aiter
2	16384	19.81	14.50	0.732	True	True	aiter
2	32768	21.67	19.84	0.915	True	True	avo
2	65536	21.08	26.16	1.241	True	True	avo
2	131072	22.40	44.70	1.996	True	True	avo
2	262144	22.52	52.30	2.323	True	True	avo
2	524288	28.72	64.47	2.245	True	True	avo
2	1048576	34.46	45.05	1.307	True	True	avo
4	2048	2.55	1.95	0.764	True	True	aiter
4	4096	9.96	8.68	0.871	True	True	aiter
4	8192	13.50	10.27	0.761	True	True	aiter
4	16384	20.16	15.06	0.747	True	True	aiter
4	32768	22.56	20.35	0.902	True	True	avo
4	65536	22.93	30.73	1.340	True	True	avo
4	131072	23.34	46.40	1.988	True	True	avo
4	262144	26.43	62.60	2.369	True	True	avo
4	524288	29.53	65.02	2.202	True	True	avo
4	1048576	36.51	71.04	1.946	True	True	avo
8	2048	3.24	2.92	0.902	True	True	aiter
8	4096	10.76	9.38	0.871	True	True	aiter
8	8192	14.24	13.24	0.929	True	True	aiter
8	16384	21.13	16.35	0.774	True	True	aiter
8	32768	24.61	21.56	0.876	True	True	avo
8	65536	25.53	31.97	1.252	True	True	avo
8	131072	29.84	52.46	1.758	True	True	avo
8	262144	30.75	60.44	1.965	True	True	avo
8	524288	35.18	67.90	1.930	True	True	avo
8	1048576	39.88	73.93	1.854	True	True	avo
64	2048	2.76	2.97	1.077	True	True	aiter
64	4096	10.52	9.11	0.866	True	True	aiter
64	8192	14.62	12.74	0.871	True	True	aiter
64	16384	22.42	19.23	0.858	True	True	aiter
64	32768	28.54	27.74	0.972	True	True	avo
64	65536	30.83	39.33	1.276	True	True	avo
64	131072	35.47	63.32	1.785	True	True	avo
64	262144	45.13	83.42	1.848	True	True	avo
64	524288	53.91	120.94	2.243	True	True	avo
64	1048576	79.12	200.74	2.537	True	True	avo
256	2048	3.14	3.43	1.091	True	True	aiter
256	4096	12.14	10.23	0.843	True	True	aiter
256	8192	16.01	14.82	0.925	True	True	aiter
256	16384	23.61	23.47	0.994	True	True	aiter
256	32768	35.91	30.35	0.845	True	True	avo
256	65536	40.62	51.67	1.272	True	True	avo
256	131072	54.13	85.71	1.583	True	True	avo
256	262144	80.50	152.65	1.896	True	True	avo
256	524288	128.87	337.12	2.616	True	True	avo
256	1048576	226.98	658.52	2.901	True	True	avo
1024	2048	4.23	4.93	1.166	True	True	aiter
1024	4096	21.29	26.18	1.230	True	True	aiter
1024	8192	32.45	29.97	0.923	True	True	aiter
1024	16384	53.75	53.42	0.994	True	True	aiter
1024	32768	69.37	87.79	1.266	True	True	avo
1024	65536	94.23	143.37	1.521	True	True	avo
1024	131072	154.86	274.01	1.769	True	True	avo
1024	262144	271.64	619.68	2.281	True	True	avo
1024	524288	457.14	1236.14	2.704	True	True	avo
1024	1048576	789.57	2431.72	3.080	True	True	avo
4096	4096	41.77	46.72	1.119	True	True	aiter
4096	8192	86.43	92.31	1.068	True	True	aiter
4096	16384	177.21	163.23	0.921	True	True	aiter
4096	32768	250.88	256.15	1.021	True	True	avo
4096	65536	343.97	454.67	1.322	True	True	avo
4096	131072	574.91	910.28	1.583	True	True	avo
4096	262144	943.38	2183.62	2.315	True	True	avo
4096	524288	1763.73	4488.63	2.545	True	True	avo
4096	1048576	3051.31	8929.91	2.927	True	True	avo
